rank,stadium,capacity,region,country,city,images,home_team,location
1,Rungrado 1st of May Stadium,114000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/150px-Arirang_Mass_Games_12.JPG,"Korea DPR national football team, Korea DPR women's national football team, April 25","[40.141826346, 127.16969192]"
2,Michigan Stadium,107601,North America,United States,"Ann Arbor, Michigan",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Real_Madrid_vs._Manchester_United_August_2nd%2C_2014.jpg/150px-Real_Madrid_vs._Manchester_United_August_2nd%2C_2014.jpg,Michigan Wolverines football,"[42.264077, -83.749706]"
3,Ohio Stadium,102780,North America,United States,"Columbus, Ohio",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/150px-Panoramic_view_of_Ohio_Stadium.jpg,Ohio State Buckeyes football,"[40.005216, -83.019107]"
4,Melbourne Cricket Ground,100024,Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/150px-MCG_Panorama_24_July_2015.jpg,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC","[-37.8208306, 144.9843376]"
5,Camp Nou,99354,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg/150px-Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg,FC Barcelona,"[41.3813324, 2.1214261]"
6,Estadio Azteca,95500,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/150px-Panor%C3%A1mica_esquina_noreste.jpg,"Club América, Cruz Azul, Mexico national football team","[19.3017955, -99.1507105]"
7,FNB Stadium,94736,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/150px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"South Africa national football team, Kaizer Chiefs","[-26.2348, 27.9827]"
8,New Administrative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/150px-The_New_administrative_stadium_of_Egypt.jpg,Egypt national football team,"[30.0239178, 31.7549334]"
9,Rose Bowl Stadium,92800,North America,United States,"Pasadena, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/150px-Rose_Bowl%2C_panorama.jpg,UCLA Bruins,"[34.16242, -118.16787]"
10,Cotton Bowl Stadium,92100,North America,United States,"Dallas, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/150px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,Dallas Trinity FC,"[32.77985, -96.75944]"
11,Wembley Stadium,90000,Europe,England,"London, England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/150px-Post_L2_Play-Off_Final.jpg,England national football team,"[51.555466, -0.279749]"
12,Lusail Stadium,88966,West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/150px-Lusail_Stadium.jpg,Qatar national football team,"[25.4210159, 51.4913956]"
13,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/150px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,Malaysia national football team,"[3.0546735, 101.6912399]"
14,Borg el-Arab Stadium,86000,Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/150px-Borg_el_arab_stadium.jpg,"Egypt national football team, Al Ittihad, Smouha","[30.9995782, 29.7293881]"
15,Estadio Santiago Bernabéu,85000,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg/150px-Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg,Real Madrid,"[40.4521084, -3.6884956]"
